date,price,warehouse_capacity,truck_capacity
2021-01-01,54.42,11,19
2021-01-02,57.53,19,29
2021-01-03,103.36,11,11
2021-01-04,144.76,5,6
2021-01-05,51.06,-5,2
2021-01-06,95.69,12,17
2021-01-07,136.73,7,19
2021-01-08,64.98,50,36
2021-01-09,112.42,15,23
2021-01-10,84.72,21,29
2021-01-11,64.97,16,22
2021-01-12,90.07,8,20
2021-01-13,143.06,18,20
2021-01-14,140.81,26,27
2021-01-15,74.15,20,41
2021-01-16,112.69,21,20
2021-01-17,148.22,31,37
2021-01-18,96.85,23,36
2021-01-19,65.65,35,32
2021-01-20,78.51,24,24
2021-01-21,97.31,11,14
2021-01-22,114.34,25,34
2021-01-23,133.97,22,31
2021-01-24,74.31,33,42
2021-01-25,141.86,35,31
2021-01-26,50.54,22,38
2021-01-27,94.68,19,24
2021-01-28,66.13,45,49
2021-01-29,74.08,41,44
2021-01-30,84.7,23,24
2021-01-31,117.51,26,26
2021-02-01,93.0,32,43
2021-02-02,77.57,30,33
2021-02-03,114.65,40,47
2021-02-04,131.55,38,41
2021-02-05,79.32,44,46
2021-02-06,99.63,23,32
2021-02-07,116.82,66,65
2021-02-08,141.4,52,52
2021-02-09,113.93,44,38
2021-02-10,107.42,62,55
2021-02-11,75.38,38,45
2021-02-12,82.26,48,47
2021-02-13,97.16,26,28
2021-02-14,137.84,42,42
2021-02-15,97.27,39,30
2021-02-16,115.36,22,30
2021-02-17,79.73,54,49
2021-02-18,134.31,69,60
2021-02-19,112.32,54,52
2021-02-20,69.63,51,55
2021-02-21,118.86,68,65
2021-02-22,54.45,64,66
2021-02-23,52.37,73,64
2021-02-24,106.69,46,54
2021-02-25,53.35,53,55
2021-02-26,135.97,49,49
2021-02-27,63.13,64,56
2021-02-28,51.55,65,56
2021-03-01,67.52,52,49
2021-03-02,89.95,50,55
2021-03-03,53.59,58,59
2021-03-04,145.23,52,62
2021-03-05,87.28,72,68
2021-03-06,106.63,72,64
2021-03-07,147.7,64,51
2021-03-08,134.24,51,40
2021-03-09,132.5,50,53
2021-03-10,148.76,46,38
2021-03-11,122.98,58,60
2021-03-12,125.57,69,72
2021-03-13,65.18,70,74
2021-03-14,59.57,72,67
2021-03-15,50.56,73,64
2021-03-16,99.34,71,69
2021-03-17,112.63,74,73
2021-03-18,69.54,70,60
2021-03-19,58.17,39,47
2021-03-20,72.21,57,56
2021-03-21,112.46,62,63
2021-03-22,83.17,62,61
2021-03-23,126.71,79,75
2021-03-24,61.8,51,50
2021-03-25,80.34,78,71
2021-03-26,52.47,71,60
2021-03-27,137.87,65,60
2021-03-28,125.64,76,79
2021-03-29,115.37,65,66
2021-03-30,148.13,82,71
2021-03-31,52.5,65,62
2021-04-01,139.03,66,65
2021-04-02,69.9,49,53
2021-04-03,69.22,71,71
2021-04-04,106.4,76,66
2021-04-05,65.41,82,62
2021-04-06,106.07,77,80
2021-04-07,129.45,62,61
2021-04-08,68.71,62,60
2021-04-09,94.02,70,66
2021-04-10,146.62,97,94
2021-04-11,55.67,58,57
2021-04-12,112.12,72,59
2021-04-13,70.7,62,58
2021-04-14,87.2,89,87
2021-04-15,83.56,61,69
2021-04-16,116.83,62,57
2021-04-17,94.83,68,70
